userid;username;date;time;retweets;favorites;text;geo;mentions;hashtags;tweetid;permalink
19025957;TTCnotices;2017-06-22;00:46;0;1;"ALL CLEAR: The delay westbound at King and Strachan has now cleared and full service on the 504 King/514 Cherry service has resumed. # TTC";;;# TTC;"877749524566953985";https://twitter.com/TTCnotices/status/877749524566953985
19025957;TTCnotices;2017-06-22;00:12;0;2;"504 King/514 Cherry service diverting westbound via Spadina, Queen, Shaw due to a collision at King and Strachan. # TTC";;;# TTC;"877740939783131136";https://twitter.com/TTCnotices/status/877740939783131136
19025957;TTCnotices;2017-06-15;20:55;0;0;"ALL CLEAR: The delay westbound on King at Parliament has now cleared. 514 Cherry is now back to regular routing. # TTC";;;# TTC;"875517188291141632";https://twitter.com/TTCnotices/status/875517188291141632
19025957;TTCnotices;2017-06-15;20:53;0;0;"514 Cherry diverting westbound via Queen, Parliament, due to a cyclist down on roadway on King at Parliament. # TTC";;;# TTC;"875516705006551040";https://twitter.com/TTCnotices/status/875516705006551040
19025957;TTCnotices;2017-06-15;00:15;0;0;"ALL CLEAR: The delay on King at Atlantic has now cleared. 514 Cherry has resumed regular routing. # TTC";;;# TTC;"875204991228665859";https://twitter.com/TTCnotices/status/875204991228665859
19025957;TTCnotices;2017-06-15;00:09;0;0;"514 Cherry holding westbound on King at Atlantic due to a stalled streetcar on King at Atlantic. # TTC";;;# TTC;"875203660170526720";https://twitter.com/TTCnotices/status/875203660170526720
19025957;TTCnotices;2017-06-14;23:40;0;1;"ALL CLEAR: The delay on Parliament at Dundas has now cleared. 514 Cherry has resumed regular routing. # TTC";;;# TTC;"875196244557271040";https://twitter.com/TTCnotices/status/875196244557271040
19025957;TTCnotices;2017-06-14;23:05;0;1;"514 Cherry diverting eastbound via Parliament, Dundas, Broadview due to the roadway being blocked on Parliament at Dundas. # TTC";;;# TTC;"875187572867203072";https://twitter.com/TTCnotices/status/875187572867203072
19025957;TTCnotices;2017-06-13;22:44;0;0;"ALL CLEAR: The delay at King and Bathurst has cleared. 504 King, 511 Bathurst and 514 Cherry have resumed regular routing. # TTC";;;# TTC;"874819918218358784";https://twitter.com/TTCnotices/status/874819918218358784
19025957;TTCnotices;2017-06-13;22:35;0;0;"UPDATE: 504 King and 514 Cherry diverting eastbound via Shaw, Queen, Spadina, due to a stalled streetcar at King and Bathurst. # TTC";;;# TTC;"874817444971466753";https://twitter.com/TTCnotices/status/874817444971466753
19025957;TTCnotices;2017-06-13;22:23;0;1;"504 King and 514 Cherry routes holding eastbound at King and Bathurst, due to a stalled streetcar. # TTC";;;# TTC;"874814548523536386";https://twitter.com/TTCnotices/status/874814548523536386
19025957;TTCnotices;2017-06-13;14:41;0;0;"ALL CLEAR: The delay on King at Jefferson has now cleared. 504 King / 514 Cherry has resumed regular routing. # TTC";;;# TTC;"874698243959123969";https://twitter.com/TTCnotices/status/874698243959123969
19025957;TTCnotices;2017-06-13;14:30;0;0;"504 King / 514 Cherry routes holding both ways on King at Jefferson, due to construction. # TTC";;;# TTC;"874695400850169856";https://twitter.com/TTCnotices/status/874695400850169856
19025957;TTCnotices;2017-06-01;22:29;0;1;"ALL CLEAR: The delay at King and Bathurst is now clear. 504 King and 514 Cherry have resumed regular routing. # TTC";;;# TTC;"870467255074795520";https://twitter.com/TTCnotices/status/870467255074795520
19025957;TTCnotices;2017-06-01;22:00;1;0;"504 King and 514 Cherry diverting westbound via Spadina, Queen, Shaw due to mechanical issue on board a streetcar at King and Bathurst. # TTC";;;# TTC;"870460118973939712";https://twitter.com/TTCnotices/status/870460118973939712
19025957;TTCnotices;2017-05-28;18:45;0;0;"ALL CLEAR: The delay on King at Sherbourne has now cleared. 514 Cherry has resumed regular routing. # TTC";;;# TTC;"868961380602437632";https://twitter.com/TTCnotices/status/868961380602437632
19025957;TTCnotices;2017-05-28;18:32;1;0;"514 Cherry diverting both ways via Church, Queen due to a police investigation on King at Sherbourne. # TTC";;;# TTC;"868958303719653376";https://twitter.com/TTCnotices/status/868958303719653376
19025957;TTCnotices;2017-05-26;14:51;0;2;"ALL CLEAR: The delay at King and Portland has cleared. 504 King & 514 Cherry have returned to regular routing. # TTC";;;# TTC;"868177809457504256";https://twitter.com/TTCnotices/status/868177809457504256
