username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TTCnotices;2018-06-30 23:37;0;2;"Route 12: Detour eastbound via St Clair Ave E, Midland Ave and Danforth Rd due to a collision.";;;;"1013265253185056768";https://twitter.com/TTCnotices/status/1013265253185056768
TTCnotices;2018-06-30 22:55;4;3;"Route 501: Detour via Spadina Ave, King St W and Church St due to police activity. Shuttle buses operating.";;;;"1013254826237587456";https://twitter.com/TTCnotices/status/1013254826237587456
TTCnotices;2018-06-30 22:30;2;0;"Line 1: Regular service has resumed northbound at Davisville.";;;;"1013248371098882049";https://twitter.com/TTCnotices/status/1013248371098882049
TTCnotices;2018-06-30 22:29;1;0;"Line 1: Minor delays northbound near Davisville while we respond to an emergency alarm.";;;;"1013248192832524289";https://twitter.com/TTCnotices/status/1013248192832524289
TTCnotices;2018-06-30 21:08;0;0;"Route 510: Regular service has resumed northbound from King St W to College St.";;;;"1013227864454520832";https://twitter.com/TTCnotices/status/1013227864454520832
TTCnotices;2018-06-30 20:59;0;1;"Attention customers: Line 1 has resumed regular service northbound near Wilson.";;;;"1013225631683891205";https://twitter.com/TTCnotices/status/1013225631683891205
TTCnotices;2018-06-30 20:58;1;0;"Line 1: Minor delays northbound near Wilson while we respond to an emergency alarm.";;;;"1013225367413362688";https://twitter.com/TTCnotices/status/1013225367413362688
TTCnotices;2018-06-30 20:37;0;1;"Route 501: Detour via Spadina Ave, King St W and Church St due to police activity.";;;;"1013220088483336197";https://twitter.com/TTCnotices/status/1013220088483336197
TTCnotices;2018-06-30 20:11;1;1;"REMINDER - Line 2: Trains are not stopping at Dufferin due to a fire. Shuttle buses are running between Ossington and Lansdowne.";;;;"1013213537966153728";https://twitter.com/TTCnotices/status/1013213537966153728
TTCnotices;2018-06-30 20:10;0;1;"Route 510: Detour northbound via King St W, Bathurst St and College St due to police activity.";;;;"1013213331770036225";https://twitter.com/TTCnotices/status/1013213331770036225
TTCnotices;2018-06-30 20:03;2;1;"Route 501: Detour via Shaw St, King St W and Church St due to police activity.";;;;"1013211558929985537";https://twitter.com/TTCnotices/status/1013211558929985537
TTCnotices;2018-06-30 18:29;0;2;"Route 511: Regular service has resumed between Bathurst Station and Queen St W.";;;;"1013187774705557504";https://twitter.com/TTCnotices/status/1013187774705557504
TTCnotices;2018-06-30 18:20;0;2;"Route 511: No service between Bathurst Station and Queen St W while we fix a mechanical problem.";;;;"1013185594955128832";https://twitter.com/TTCnotices/status/1013185594955128832
TTCnotices;2018-06-30 17:21;0;2;"Route 53: Regular service has resumed between Silver Star Blvd and Kennedy Rd.";;;;"1013170567187484672";https://twitter.com/TTCnotices/status/1013170567187484672
TTCnotices;2018-06-30 17:19;0;0;"Route 43: Regular service has resumed northbound from Passmore Ave to Silver Star Blvd.";;;;"1013170128933085185";https://twitter.com/TTCnotices/status/1013170128933085185
TTCnotices;2018-06-30 17:15;0;1;"Route 127: Regular service has resumed between Oakwood Ave and Ossington Ave.";;;;"1013169235642765318";https://twitter.com/TTCnotices/status/1013169235642765318
TTCnotices;2018-06-30 17:14;0;0;"Route 161: Regular service has resumed between Davenport Rd and St Clair Ave W.";;;;"1013169010534440960";https://twitter.com/TTCnotices/status/1013169010534440960
TTCnotices;2018-06-30 17:12;0;0;"Route 63: Regular service has resumed southbound from St Clair Ave W to Dupont St.";;;;"1013168404449169408";https://twitter.com/TTCnotices/status/1013168404449169408
TTCnotices;2018-06-30 17:11;0;0;"Route 63: Regular service has resumed northbound from Oakwood Ave to St Clair Ave W.";;;;"1013168273477775360";https://twitter.com/TTCnotices/status/1013168273477775360
TTCnotices;2018-06-30 16:53;0;0;"Route 198: Regular service has resumed between Morningside Ave at Kingston Rd and Lawrence Ave E.";;;;"1013163694753230848";https://twitter.com/TTCnotices/status/1013163694753230848
TTCnotices;2018-06-30 16:52;0;0;"Route 86: Regular service has resumed between Morningside Ave and Lawrence Ave E.";;;;"1013163331983536129";https://twitter.com/TTCnotices/status/1013163331983536129
TTCnotices;2018-06-30 16:50;0;0;"Route 63: Detour northbound via Davenport Rd, Christie St and St Clair Ave W due to a collision.";;;;"1013162887270019073";https://twitter.com/TTCnotices/status/1013162887270019073
TTCnotices;2018-06-30 16:48;0;2;"Route 63: Detour southbound via St Clair Ave W and Dufferin St due to a collision.";;;;"1013162368845664256";https://twitter.com/TTCnotices/status/1013162368845664256
TTCnotices;2018-06-30 16:46;0;0;"Route 161: Detour via Davenport Rd, Dufferin St and St Clair Ave W due to a collision.";;;;"1013161822785024000";https://twitter.com/TTCnotices/status/1013161822785024000
TTCnotices;2018-06-30 16:43;1;2;"Route 127: Detour via Dovercourt Rd, Geary Ave and Ossington Ave due to a collision.";;;;"1013161239537700866";https://twitter.com/TTCnotices/status/1013161239537700866
TTCnotices;2018-06-30 16:39;0;1;"Route 86: Detour via Morningside Ave and Lawrence Ave E due to a collision.";;;;"1013160096313102341";https://twitter.com/TTCnotices/status/1013160096313102341
TTCnotices;2018-06-30 16:37;3;0;"REMINDER - Line 2: Trains are not stopping at Dufferin due to a fire. Shuttle buses are running between Ossington and Lansdowne.";;;;"1013159675389464577";https://twitter.com/TTCnotices/status/1013159675389464577
TTCnotices;2018-06-30 16:36;0;0;"Route 198: Detour via Morningside Ave and Lawrence Ave E due to a collision.";;;;"1013159422007369729";https://twitter.com/TTCnotices/status/1013159422007369729
TTCnotices;2018-06-30 16:02;0;0;"Route 43: Detour northbound via Passmore Ave and Silver Star Blvd due to a broken railway crossing.";;;;"1013150837496074241";https://twitter.com/TTCnotices/status/1013150837496074241
TTCnotices;2018-06-30 15:48;0;0;"Route 53: Detour via Silver Star Blvd, Passmore Ave and Kennedy Rd due to a collision.";;;;"1013147316818194434";https://twitter.com/TTCnotices/status/1013147316818194434
TTCnotices;2018-06-30 15:32;0;1;"Route 501: Regular service has resumed between S Kingsway and Roncesvalles Ave.";;;;"1013143189203619842";https://twitter.com/TTCnotices/status/1013143189203619842
TTCnotices;2018-06-30 15:31;0;0;"Route 501: No service between S Kingsway and Roncesvalles Ave while we fix a mechanical problem.";;;;"1013142980906143744";https://twitter.com/TTCnotices/status/1013142980906143744
TTCnotices;2018-06-30 15:01;1;0;"Route 501: Regular service has resumed at Burlington St.";;;;"1013135518954074112";https://twitter.com/TTCnotices/status/1013135518954074112
TTCnotices;2018-06-30 14:04;4;2;"Line 2: Trains are not stopping at Dufferin due to a fire. Shuttle buses are running between Ossington and Lansdowne.";;;;"1013121118486614016";https://twitter.com/TTCnotices/status/1013121118486614016
TTCnotices;2018-06-30 13:45;2;1;"Line 2: Trains are not stopping at Dufferin due to a fire.";;;;"1013116388813271041";https://twitter.com/TTCnotices/status/1013116388813271041
TTCnotices;2018-06-30 13:43;0;0;"Route 33: Regular service has resumed northbound from St Clair W Station to Lonsdale Rd.";;;;"1013115788994195457";https://twitter.com/TTCnotices/status/1013115788994195457
TTCnotices;2018-06-30 13:32;1;1;"Route 501: No service at Burlington St while we fix a mechanical problem. Shuttle buses are running between Burlington St and Long Branch Loop.";;;;"1013112993855492096";https://twitter.com/TTCnotices/status/1013112993855492096
TTCnotices;2018-06-30 13:29;0;0;"Line 2: Regular service has resumed westbound from Donlands to Bloor-Yonge.";;;;"1013112224959877120";https://twitter.com/TTCnotices/status/1013112224959877120
TTCnotices;2018-06-30 13:25;0;0;"Line 2: Major delays westbound from Donlands to Bloor-Yonge while we respond to a medical emergency.";;;;"1013111176346193922";https://twitter.com/TTCnotices/status/1013111176346193922
TTCnotices;2018-06-30 11:39;1;2;"Route 121: Detour via Spadina Ave and Front St W due to the Blue Jays Game.";;;;"1013084646752452608";https://twitter.com/TTCnotices/status/1013084646752452608
TTCnotices;2018-06-30 11:09;1;1;"Route 33: Detour northbound via St Clair Ave W, Bathurst St, Tichester Rd and Spadina Rd due to a collision.";;;;"1013077054726836227";https://twitter.com/TTCnotices/status/1013077054726836227
TTCnotices;2018-06-30 11:05;3;1;"Route 512: No service between St Clair Station and St Clair W Station due to a collision.";;;;"1013075946742669312";https://twitter.com/TTCnotices/status/1013075946742669312
TTCnotices;2018-06-30 07:55;1;2;"Route 511: Regular service has resumed southbound at King St W.";;;;"1013028308949389312";https://twitter.com/TTCnotices/status/1013028308949389312
